Method,Initialization,Target_Month,Lead_Month,NINO3.4,AUC,SEDI,BSS,Accuracy,CSI,BrS,RMSE,MHW_Intensity_Error_C,Observed_MHW_Intensity_RMSE_C,BrS_Reference,hits,misses,false_alarms,correct_negatives
NMME ensemble mean,1993-11,1994-06,7,0.2959613800048828,0.6087186979814829,0.0982791110873222,-2.1818124090410387,0.900949118882904,0.0310196620151146,0.0990508811170959,0.1747157480311466,0.2869858509564514,0.1747157480311466,0.0311303334023229,75.67856740951538,554.7107207775116,1809.3074232935903,21427.008131623268
NMME ensemble mean,1993-11,1994-07,8,0.1916446685791015,0.5297916364351146,-0.0402316972613334,-1.065242262092068,0.8666541494801931,0.0299486818940638,0.1333458505198069,0.2409073937471035,0.2775259706447011,0.2409073937471035,0.0645666869051619,98.25507032871246,1529.6536929607391,1652.872363448143,20585.92371636629
NMME ensemble mean,1993-11,1994-08,9,0.4293575286865234,0.5721153599282907,0.0514356791973114,-0.7927062414792807,0.871706466790387,0.0462596008805289,0.128293533209613,0.272817466773098,0.4347782681802432,0.272817466773098,0.0715641694334424,148.51452493667605,1688.1528010368347,1373.7910893559456,20656.24642777443
NMME ensemble mean,1993-12,1994-01,1,0.3303146362304687,0.651115014445599,-0.0559059679508209,-2.062620487428995,0.8689322149233453,0.0228648559395653,0.1310677850766547,0.3067422720326827,0.2059492788844954,0.3067422720326827,0.042795960392299,73.19851297140121,905.2158704400064,2222.940270423889,20665.35018926859
NMME ensemble mean,1993-12,1994-02,2,0.0228004455566406,0.6917410118869413,-0.1300909966230392,-2.882564595400485,0.8586499898249224,0.0142638771357894,0.1413500101750776,0.2658761245129923,0.3464584082353798,0.2658761245129923,0.0364063511892446,48.81634098291397,738.9743962883949,2634.5845761299133,20444.329529702663
NMME ensemble mean,1993-12,1994-03,3,0.147674560546875,0.7216260787129032,-0.1440744698047638,-2.374499816904426,0.8537659353186542,0.015587978835869,0.1462340646813457,0.2376345979252312,0.3244940795858906,0.2376345979252312,0.0433350341134386,55.26547574996948,939.2312994003296,2550.8939603567123,20321.314107596874
NMME ensemble mean,1993-12,1994-04,4,0.2766742706298828,0.7293428156905031,0.2100579142570495,-1.514632047249472,0.8642471367801858,0.0777934524512493,0.1357528632198142,0.2911507670704192,0.2266777662141492,0.2911507670704192,0.0539851798072413,273.31049263477325,1038.91613727808,2201.057380795479,20353.420832395557
NMME ensemble mean,1993-12,1994-05,5,0.2557277679443359,0.6139871234690434,0.130619391798973,-0.7943632353070198,0.8698747425226444,0.0676886984350109,0.1301252574773556,0.3130144772053702,0.1777912764532567,0.3130144772053702,0.0725189052678572,225.4806502461433,1639.6696736812592,1465.9914391636848,20535.5630800128
NMME ensemble mean,1993-12,1994-06,6,0.2959613800048828,0.6435273237155362,0.1835767179727554,-1.6417132090865725,0.9177625870478144,0.0429313676577233,0.0822374129521855,0.176767359594572,0.2552311517494798,0.176767359594572,0.0311303334023229,88.04273867607117,542.3465495109558,1420.3895124793053,21815.926042437557
NMME ensemble mean,1993-12,1994-07,7,0.1916446685791015,0.5589305999789211,-0.0405815616250038,-0.8604941173506147,0.8798740588361273,0.0259840473083863,0.1201259411638727,0.2462630124313524,0.2558040499210678,0.2462630124313524,0.0645666869051619,76.48389452695847,1551.4248687624931,1315.58551299572,20923.210566818718
NMME ensemble mean,1993-12,1994-08,8,0.4293575286865234,0.5953337870784015,0.1108857691287994,-0.6291587485640389,0.8834106072837881,0.0557182137269959,0.1165893927162119,0.2505807075265249,0.2928343446631617,0.2505807075265249,0.0715641694334424,164.19014048576355,1672.4771854877472,1110.1274383068085,20919.910078823566
NMME ensemble mean,1993-12,1994-09,9,0.3319873809814453,0.6282307829808572,-0.0103519363328814,-0.8589026605729384,0.9127591319430848,0.0219271517201448,0.0872408680569152,0.222002173826093,0.3854166330005764,0.222002173826093,0.046931380489835,46.679205894470215,1055.1087411046028,1027.0433070659635,21737.87358903885
NMME ensemble mean,1994-01,1994-02,1,0.0228004455566406,0.8284947347765415,0.3176705539226532,-1.4300528727443589,0.911530641706436,0.0782269903522695,0.0884693582935639,0.2176106672584474,0.2371428100543494,0.2176106672584474,0.0364063511892446,179.19173473119736,608.5990025401115,1502.8730595111847,21576.041046321392
NMME ensemble mean,1994-01,1994-03,2,0.147674560546875,0.7903117861238955,0.0707399472594261,-1.4023232757523272,0.8958952388937652,0.037396018303834,0.1041047611062347,0.2169633303764902,0.2509099215705568,0.2169633303764902,0.0433350341134386,96.5252119898796,897.9715631604195,1586.6660429239273,21285.54202502966
NMME ensemble mean,1994-01,1994-04,3,0.2766742706298828,0.7703379660355235,0.3803967535495758,-1.0336439368413064,0.8902133664057159,0.126658516923404,0.1097866335942841,0.2422816214133469,0.1666501856593863,0.2422816214133469,0.0539851798072413,380.0075627565384,932.2190671563148,1688.0261125564575,20866.45210063457
NMME ensemble mean,1994-01,1994-05,4,0.2557277679443359,0.5437064415515537,0.0771934241056442,-0.9375528116731024,0.8594907911988078,0.0571484154659792,0.1405092088011922,0.3070999925890466,0.0979876028498404,0.3070999925890466,0.0725189052678572,203.26289588212967,1661.8874280452728,1691.604386150837,20309.950133025646
NMME ensemble mean,1994-01,1994-06,5,0.2959613800048828,0.6444343230436803,0.3587368726730346,-2.066880335186116,0.9045269926606282,0.0718304336297374,0.0954730073393718,0.1751005634941174,0.2302468804177939,0.1751005634941174,0.0311303334023229,176.34137749671936,454.0479106903076,1824.5781759619715,21411.737378954887
NMME ensemble mean,1994-01,1994-07,6,0.1916446685791015,0.5846378126461815,0.1945637613534927,-0.9042887406876006,0.8770463851029986,0.0814900192707425,0.1229536148970013,0.2436011019311408,0.2194271438686054,0.2436011019311408,0.0645666869051619,260.3480353355408,1367.5607279539108,1566.936908185482,20671.859171628952
NMME ensemble mean,1994-01,1994-08,7,0.4293575286865234,0.6214539468196137,0.2142855823040008,-0.6927414620894461,0.8788603632000178,0.0901547442909017,0.1211396367999821,0.2617045264358551,0.2924299050421337,0.2617045264358551,0.0715641694334424,286.4836099743843,1550.1837159991264,1341.0202403068542,20689.01727682352
NMME ensemble mean,1994-01,1994-09,8,0.3319873809814453,0.5951903432079612,0.080184519290924,-1.2556979866334523,0.8941369795191506,0.0412567114134876,0.1058630204808494,0.2246096674775395,0.2522511792553283,0.2246096674775395,0.046931380489835,108.72489923238754,993.0630477666856,1533.5384158492088,21231.378480255604
NMME ensemble mean,1994-01,1994-10,9,0.7780609130859375,0.6364494412753069,0.1113662421703338,-0.7087298901865149,0.8618456004454521,0.0656807485901564,0.1381543995545479,0.2911911576545112,0.387724155109717,0.2911911576545112,0.0808520997660243,231.7928196191788,1881.9648711681368,1415.3254057765007,20337.62174654007
NMME ensemble mean,1994-02,1994-03,1,0.147674560546875,0.8513591520902554,0.4140128493309021,-0.4793948878065899,0.9358903720696546,0.1285570882664142,0.0641096279303453,0.1889054816348436,0.1957413103794287,0.1889054816348436,0.0433350341134386,225.72143590450287,768.7753392457962,761.3102281689644,22110.897839784622
NMME ensemble mean,1994-02,1994-04,2,0.2766742706298828,0.8025947326804861,0.5256667137145996,-0.2788511679404781,0.9309609897520328,0.2026879291500209,0.0690390102479673,0.2211334237340335,0.1660629061863461,0.2211334237340335,0.0539851798072413,418.8770490884781,893.3495808243752,754.3840994238853,21800.094113767147
NMME ensemble mean,1994-02,1994-05,3,0.2557277679443359,0.5715659834627014,0.1107415482401847,-0.5612766719653581,0.8867779249288287,0.0533415824298314,0.1132220750711712,0.3014661928417477,0.0767139173115936,0.3014661928417477,0.0725189052678572,152.26362562179563,1712.8866983056068,989.3511491417884,21012.20337003469
NMME ensemble mean,1994-02,1994-06,4,0.2959613800048828,0.7001542092321597,0.4255213141441345,-1.087076700611075,0.9350286064737572,0.0987225886418904,0.0649713935262429,0.1658794383754473,0.1972393600000408,0.1658794383754473,0.0311303334023229,169.8527927994728,460.53649538755417,1090.1165771484375,22146.19897776842
NMME ensemble mean,1994-02,1994-07,5,0.1916446685791015,0.618712113884841,0.1771145164966583,-0.6795781359421518,0.8915552043638676,0.0713339517585282,0.1084447956361324,0.2381814220464521,0.1578302103678813,0.2381814220464521,0.0645666869051619,198.8098476529121,1429.0989156365397,1159.1210135817528,21079.67506623268
NMME ensemble mean,1994-02,1994-08,6,0.4293575286865234,0.6283920203806073,0.1239708438515663,-0.6531136074790804,0.8816962977016378,0.0603324312966442,0.1183037022983621,0.2348937786012817,0.2277931623612247,0.2348937786012817,0.0715641694334424,181.287302672863,1655.3800233006475,1168.1395213007927,20861.897995829582
NMME ensemble mean,1994-02,1994-09,7,0.3319873809814453,0.6151145284872088,0.0002155450783902,-1.0430546967529837,0.9041166226651411,0.0257269548859107,0.0958833773348588,0.2244408236359079,0.2477828815991316,0.2244408236359079,0.046931380489835,60.428732216358185,1041.3592147827148,1247.061051428318,21517.85584467649
NMME ensemble mean,1994-02,1994-10,8,0.7780609130859375,0.596401515871121,-0.0864060595631599,-0.7501043569191796,0.8585003879334167,0.0226978096534864,0.1414996120665833,0.2706641020138952,0.1849905860381503,0.2706641020138952,0.0808520997660243,78.43371558189392,2035.3239752054212,1341.8055014014244,20411.141650915142
NMME ensemble mean,1994-02,1994-11,9,1.0316734313964844,0.6457178107597462,0.044420626014471,-0.152371336789864,0.9449221478037634,0.0112174593608809,0.0550778521962366,0.2295601601468014,0.1047353533677035,0.2295601601468014,0.0477952292267749,14.912936687469482,1112.646538853645,201.8803029060364,22537.26506465673
NMME ensemble mean,1994-03,1994-04,1,0.2766742706298828,0.8283698213354068,0.6436999440193176,0.0654129161794333,0.9495461482344214,0.2933869197558217,0.0504538517655786,0.2377959817177013,0.1896140457507016,0.2377959817177013,0.0539851798072413,499.9722084403038,812.2544214725494,391.9127668142319,22162.5654463768
NMME ensemble mean,1994-03,1994-05,2,0.2557277679443359,0.5254077374316509,0.1150175556540489,-0.4461933592810319,0.8951236407792945,0.0482985175085273,0.1048763592207054,0.3041573275807736,0.0975607168460193,0.3041573275807736,0.0725189052678572,127.02907025814056,1738.121253669262,764.9318568706512,21236.622662305832
NMME ensemble mean,1994-03,1994-06,3,0.2959613800048828,0.6708913915016942,0.4181597530841827,-1.1154745362438891,0.9341445723826032,0.0962504389624295,0.0658554276173968,0.1844258182639075,0.1701675092397375,0.1844258182639075,0.0311303334023229,167.39352536201477,462.9957628250122,1108.756290435791,22127.559264481068
NMME ensemble mean,1994-03,1994-07,4,0.1916446685791015,0.6220811941665392,0.2297664284706115,-0.6286122405039496,0.8948459033774673,0.0869100820516337,0.1051540966225327,0.2320387256230009,0.1513037409890437,0.2320387256230009,0.0645666869051619,238.87751442193985,1389.0312488675115,1120.650538265705,21118.14554154873
NMME ensemble mean,1994-03,1994-08,5,0.4293575286865234,0.6130582588798196,0.1165810525417327,-0.6301380259391243,0.8833405261117951,0.0573415220661186,0.1166594738882048,0.2347214974420293,0.2248353291047079,0.2347214974420293,0.0715641694334424,169.3664227128029,1667.300903260708,1116.9763271808624,20913.061189949512
NMME ensemble mean,1994-03,1994-09,6,0.3319873809814453,0.5900504261850111,0.0235171504318714,-1.0113124786798764,0.9056063287791216,0.0289294358739193,0.0943936712208785,0.215025472250555,0.1980819856855797,0.215025472250555,0.046931380489835,67.11576038599014,1034.6721866130829,1218.1937034726143,21546.7231926322
NMME ensemble mean,1994-03,1994-10,7,0.7780609130859375,0.579464859550253,-0.1075862273573875,-0.7369259243323119,0.8595658918796899,0.0192351062417093,0.1404341081203101,0.2727403109642629,0.1578373158439255,0.2727403109642629,0.0808520997660243,65.73470830917358,2048.022982478142,1303.676425933838,20449.27072638273
