time,RMSE,leads,Nino34
2022-01-01,0.6972825949690107,9,-0.94
2022-02-01,0.7458611034172461,9,-0.89
2022-03-01,0.7281049198238578,9,-0.97
2022-04-01,0.6370720577605967,9,-1.11
2022-05-01,0.6342365902099458,9,-1.11
2022-06-01,0.5645455917050858,9,-0.75
2022-07-01,0.5856663977686919,9,-0.69
2022-08-01,0.5876694130200562,9,-0.97
2022-09-01,0.5547795920889994,9,-1.07
2022-10-01,0.5779033176521399,9,-0.99
2022-11-01,0.5838353987671405,9,-0.9
2022-12-01,0.6917387072856802,9,-0.85
2023-01-01,0.8176981341567164,9,-0.72
2023-02-01,0.8806172852221779,9,-0.46
2023-03-01,0.7775452290605109,9,-0.11
2023-04-01,0.6020281909482557,9,0.14
2023-05-01,0.5347419385620789,9,0.46
2023-06-01,0.5856907351695081,9,0.84
2023-07-01,0.594330719196886,9,1.02
2023-08-01,0.5771901005834517,9,1.35
2023-09-01,0.6057985759416364,9,1.6
2023-10-01,0.560808788508055,9,1.72
2023-11-01,0.5372489499324163,9,2.02
2023-12-01,0.5675480935185034,9,2.03
2024-01-01,0.6267567049488546,9,1.81
2024-02-01,0.6731483248778904,9,1.52
2024-03-01,0.6581865902233949,9,1.13
2024-04-01,0.6064487139654535,9,0.77
2024-05-01,0.543708348040865,9,0.23
2024-06-01,0.5249789834128262,9,0.17
2024-07-01,0.5470326346983863,9,0.04
2024-08-01,0.5680471590072776,9,-0.12
