time,SEDI,leads,Nino34
2010-04-01,0.32360733383231693,9,0.38
2010-05-01,0.32657834308014977,9,-0.22
2010-06-01,0.2004208428164323,9,-0.69
2010-07-01,0.2620440084073279,9,-1.07
2010-08-01,0.26709443082412077,9,-1.39
2010-09-01,0.21514399846394855,9,-1.6
2010-10-01,0.27030369225475526,9,-1.69
2010-11-01,0.3123167238405181,9,-1.64
2010-12-01,0.3334524099611574,9,-1.6
2011-01-01,0.2605549606184165,9,-1.54
2011-02-01,0.4824841188059913,9,-1.11
2011-03-01,0.4658607575628493,9,-0.93
2011-04-01,0.4407806462711758,9,-0.77
2011-05-01,0.31660356952084434,9,-0.52
2011-06-01,0.13467887716574797,9,-0.38
2011-07-01,0.15338465395487014,9,-0.43
2011-08-01,-0.007358917863004712,9,-0.65
2011-09-01,0.06032471400168207,9,-0.8
2011-10-01,0.056468472680232175,9,-1.05
2011-11-01,0.03748817599585491,9,-1.19
2011-12-01,0.07752042243050206,9,-1.06
2012-01-01,0.198670004416878,9,-0.87
2012-02-01,0.09807563386857505,9,-0.67
2012-03-01,0.12969583583374814,9,-0.61
2012-04-01,0.04395609462840691,9,-0.5
2012-05-01,0.18109570112493298,9,-0.32
2012-06-01,-0.01695555947824485,9,0.02
2012-07-01,0.10982209247433478,9,0.25
2012-08-01,-0.023469175315565527,9,0.47
2012-09-01,-0.0685304875175158,9,0.38
2012-10-01,-0.05646019139223627,9,0.26
2012-11-01,-0.10987077653408049,9,0.16
2012-12-01,-0.11445687856111261,9,-0.25
2013-01-01,0.20746372399541235,9,-0.53
2013-02-01,0.13090097469588116,9,-0.52
2013-03-01,-0.012457662572463323,9,-0.25
2013-04-01,0.07495440563393964,9,-0.25
2013-05-01,0.13742770885841712,9,-0.4
2013-06-01,0.06122759108742077,9,-0.42
2013-07-01,0.13284439971256584,9,-0.39
2013-08-01,-0.1142929471615288,9,-0.38
2013-09-01,-0.19490186373392737,9,-0.18
2013-10-01,-0.03670718158698742,9,-0.2
2013-11-01,-0.005871206211547032,9,-0.14
2013-12-01,0.059136449048916476,9,-0.17
2014-01-01,-0.10403356152690117,9,-0.49
2014-02-01,-0.04106770911150509,9,-0.62
2014-03-01,-0.04529269888169232,9,-0.28
2014-04-01,0.05501380811134977,9,0.08
2014-05-01,0.1803881515127917,9,0.32
2014-06-01,0.3742617633607652,9,0.23
2014-07-01,0.3766331291861004,9,-0.06
2014-08-01,0.2160652255018552,9,-0.03
2014-09-01,0.11986422342144776,9,0.29
2014-10-01,0.12878976969255337,9,0.44
2014-11-01,0.15421230915106002,9,0.75
2014-12-01,-0.05612592637124988,9,0.71
2015-01-01,-0.022024339944538122,9,0.51
2015-02-01,0.08722934082874821,9,0.42
2015-03-01,0.17622060269059148,9,0.47
2015-04-01,0.2681022710684273,9,0.7
2015-05-01,0.39659839040703243,9,0.92
2015-06-01,0.500491095913781,9,1.18
2015-07-01,0.46536023418108624,9,1.46
2015-08-01,0.4985402756267124,9,1.93
2015-09-01,0.5506669051117368,9,2.21
2015-10-01,0.5128439168135325,9,2.36
2015-11-01,0.5825890600681305,9,2.72
