Initialization,Target_Month,Lead_Month,AUC,SEDI,RMSE
2002-11,2003-05,6,0.5097172581923247,-0.13297650313443152,0.2546677887439728
2002-10,2003-05,7,0.4765315289364132,-0.24615389326740986,0.2520117163658142
2002-09,2003-05,8,0.47032145679645365,-0.23568891234976566,0.2528027892112732
2002-08,2003-05,9,0.49457484024350934,-0.17093197239568853,0.25183042883872986
2003-05,2003-06,1,0.6948738141297309,0.18417553717999147,0.2325097918510437
2003-04,2003-06,2,0.6325916704174684,0.040858191665726185,0.25559741258621216
2003-03,2003-06,3,0.7060075080260755,0.22823147091570775,0.2387625128030777
2003-02,2003-06,4,0.6569799039425928,0.0775163972549109,0.2583807408809662
2003-01,2003-06,5,0.6426572198547638,0.057383082978439935,0.25552603602409363
2002-12,2003-06,6,0.6384388468213641,0.23281692646088398,0.2507287561893463
2002-11,2003-06,7,0.6288820560158703,0.1704008722675257,0.24943828582763672
2002-10,2003-06,8,0.5906838142616608,0.14788131622297437,0.2506992220878601
2002-09,2003-06,9,0.6022857084499385,0.14510287372008554,0.24887901544570923
