Event,Lead,Bridge,Pattern_skill,Convection_skill,Source_skill,AUC,Remote_predictable_component,Local_error
2015/16,6,PSA (S. Pacific),0.7045458108876052,0.4142145849680705,0.4672450263618699,0.7396143648964681,0.32919552598132407,0.5857854150319295
2015/16,6,Indian bridge,0.8833219304884589,0.3631899616274454,0.4672450263618699,0.7396143648964681,0.41272777869709776,0.6368100383725546
2015/16,6,Atlantic bridge,0.17933446786127147,0.42617992718472303,0.4672450263618699,0.7396143648964681,0.08379313816343169,0.5738200728152769
2023/24,6,PNA (N. Pacific),0.5480573830806945,0.17970394387564298,0.2077259138781402,0.6157199402714176,0.11384572075809925,0.8202960561243571
2023/24,6,PSA (S. Pacific),0.15348381913880635,0.08236839280226609,0.2077259138781402,0.6157199402714176,0.031882566596115734,0.917631607197734
2023/24,6,Indian bridge,0.20107313931793025,0.46874803667366166,0.2077259138781402,0.6157199402714176,0.041768101621163664,0.5312519633263384
2023/24,6,Atlantic bridge,-0.09305214513822814,-0.39151443366230676,0.2077259138781402,0.6157199402714176,-0.019329341887159783,1.3915144336623069
1997/98,9,PNA (N. Pacific),0.8532110073021484,0.5783758888025889,0.5784594332585644,0.7262646600119456,0.49354795573396965,0.42162411119741106
1997/98,9,PSA (S. Pacific),0.7869550709815977,0.5214431895194377,0.5784594332585644,0.7262646600119456,0.45522158435996835,0.4785568104805623
1997/98,9,Indian bridge,0.9469032044078375,0.07274402080685842,0.5784594332585644,0.7262646600119456,0.5477450909724763,0.9272559791931416
1997/98,9,Atlantic bridge,0.5637693184254996,0.17728831599392197,0.5784594332585644,0.7262646600119456,0.3261176804249816,0.822711684006078
2015/16,9,PNA (N. Pacific),0.8204833144386915,0.280558483574222,0.4941689746329718,0.6649239295488664,0.4054573981996304,0.719441516425778
2015/16,9,PSA (S. Pacific),0.6223831211253438,0.34068429917182486,0.4941689746329718,0.6649239295488664,0.3075624287953798,0.6593157008281751
2015/16,9,Indian bridge,0.8618572887512937,0.3167109734480551,0.4941689746329718,0.6649239295488664,0.42590313266217994,0.6832890265519449
2015/16,9,Atlantic bridge,0.028831349745348223,0.41408618407733505,0.4941689746329718,0.6649239295488664,0.014247558540943325,0.5859138159226649
2023/24,9,PNA (N. Pacific),0.5751699334319478,0.11881904875383582,0.1525381328457886,0.5704281565693045,0.08773534771474584,0.8811809512461641
2023/24,9,PSA (S. Pacific),0.06856791012913908,0.09993895582733324,0.1525381328457886,0.5704281565693045,0.010459220984236711,0.9000610441726667
2023/24,9,Indian bridge,-0.16366328133114633,0.23560099195864118,0.1525381328457886,0.5704281565693045,-0.024964891349668072,0.7643990080413589
2023/24,9,Atlantic bridge,-0.16717717611626776,-0.31536630431797724,0.1525381328457886,0.5704281565693045,-0.025500894299207048,1.3153663043179773
