time,AUC,leads,Nino34
2020-04-01,0.6384884828047279,9,0.36
2020-05-01,0.6433293929810238,9,-0.27
2020-06-01,0.6434504738999437,9,-0.34
2020-07-01,0.6688176514009969,9,-0.3
2020-08-01,0.6364533482783714,9,-0.59
2020-09-01,0.6340636824939422,9,-0.83
2020-10-01,0.6265962849880958,9,-1.26
2020-11-01,0.604313212538121,9,-1.42
2020-12-01,0.5951812408492158,9,-1.15
2021-01-01,0.6205426930372431,9,-1.0
2021-02-01,0.5807245200926684,9,-1.0
2021-03-01,0.5996094123820995,9,-0.8
2021-04-01,0.5728803464899141,9,-0.72
2021-05-01,0.5868110647986892,9,-0.46
2021-06-01,0.5837509206660171,9,-0.28
2021-07-01,0.6037625397491033,9,-0.39
2021-08-01,0.6018773212613263,9,-0.53
2021-09-01,0.5184989387656062,9,-0.55
2021-10-01,0.5721618747794953,9,-0.94
2021-11-01,0.6011879582240276,9,-0.94
2021-12-01,0.616112787760622,9,-1.06
2022-01-01,0.6301767825591009,9,-0.94
2022-02-01,0.6773405140034466,9,-0.89
2022-03-01,0.6798166098559302,9,-0.97
2022-04-01,0.6586839018518668,9,-1.11
2022-05-01,0.6598792274836106,9,-1.11
2022-06-01,0.6188432181349869,9,-0.75
2022-07-01,0.5897639489902619,9,-0.69
2022-08-01,0.5337338458719012,9,-0.97
2022-09-01,0.5509891611264481,9,-1.07
2022-10-01,0.5950915361567711,9,-0.99
2022-11-01,0.63927596588071,9,-0.9
2022-12-01,0.6643327584117648,9,-0.85
2023-01-01,0.6603265802222777,9,-0.72
2023-02-01,0.6398998049681043,9,-0.46
2023-03-01,0.6166138404937566,9,-0.11
2023-04-01,0.5889519847787317,9,0.14
2023-05-01,0.576408694464326,9,0.46
2023-06-01,0.5561108200871401,9,0.84
2023-07-01,0.5355952520490689,9,1.02
2023-08-01,0.4922880628800425,9,1.35
2023-09-01,0.5048909545583624,9,1.6
2023-10-01,0.5253554006630374,9,1.72
2023-11-01,0.6143055758430276,9,2.02
2023-12-01,0.6518546654894959,9,2.03
2024-01-01,0.6573181818384417,9,1.81
2024-02-01,0.6382000628759724,9,1.52
2024-03-01,0.6244521366485989,9,1.13
2024-04-01,0.640387231645232,9,0.77
2024-05-01,0.6632901605535411,9,0.23
2024-06-01,0.6036877742198091,9,0.17
2024-07-01,0.5913319283602556,9,0.04
2024-08-01,0.5432217322508337,9,-0.12
