Year,Series,MHW_activity_C_days
2001,North Atlantic,4.046273287452983
2002,North Atlantic,4.782515690236049
2003,North Atlantic,13.573698221421367
2004,North Atlantic,7.6490536342616515
2005,North Atlantic,14.142517393093339
2006,North Atlantic,16.760747728505905
2007,North Atlantic,16.173615350483246
2008,North Atlantic,11.54280752119588
2009,North Atlantic,7.451061151077293
2010,North Atlantic,39.38645585027062
2011,North Atlantic,14.33292743824159
2012,North Atlantic,36.5729406989897
2013,North Atlantic,12.994766565393649
2014,North Atlantic,28.58783662291189
2015,North Atlantic,46.124164580005754
2016,North Atlantic,48.13372628881119
2017,North Atlantic,40.41362924434973
2018,North Atlantic,42.77226090031481
2019,North Atlantic,35.634402368773685
2020,North Atlantic,43.96837979824805
2021,North Atlantic,44.53398080233698
2022,North Atlantic,58.54880175488879
2023,North Atlantic,130.78162144426008
2024,North Atlantic,138.1606739703038
1991,Tropical Atlantic,0.29574742801080284
1992,Tropical Atlantic,3.9812924420964646
1993,Tropical Atlantic,5.731199642217354
1994,Tropical Atlantic,0.1354591637902881
1995,Tropical Atlantic,1.950556838540269
1996,Tropical Atlantic,2.5853327149691605
1997,Tropical Atlantic,28.3382846386962
1998,Tropical Atlantic,22.474819887683704
1999,Tropical Atlantic,1.8176277853040979
2000,Tropical Atlantic,0.5844200067030595
2001,Tropical Atlantic,1.281170431141969
2002,Tropical Atlantic,3.907359704148332
2003,Tropical Atlantic,9.341662415191935
2004,Tropical Atlantic,3.5629514213644535
2005,Tropical Atlantic,27.497280196685686
2006,Tropical Atlantic,2.4978325559577987
2007,Tropical Atlantic,1.977199944204365
2008,Tropical Atlantic,7.931626114635053
2009,Tropical Atlantic,7.996040514072739
2010,Tropical Atlantic,84.64662636665925
2011,Tropical Atlantic,7.494780695433058
2012,Tropical Atlantic,5.29860698823869
2013,Tropical Atlantic,3.9346869963166293
2014,Tropical Atlantic,2.5372229703201215
2015,Tropical Atlantic,17.633216277172693
2016,Tropical Atlantic,31.481824586591916
2017,Tropical Atlantic,28.826868407242333
2018,Tropical Atlantic,11.550828608721012
2019,Tropical Atlantic,25.093966054177695
2020,Tropical Atlantic,49.833868431139955
2021,Tropical Atlantic,27.94748400386859
2022,Tropical Atlantic,9.922177089940192
2023,Tropical Atlantic,114.35621643867078
2024,Tropical Atlantic,173.7676999484135
1991,South Atlantic,4.805877939183677
1992,South Atlantic,5.901546260281798
1993,South Atlantic,11.519928259064537
1994,South Atlantic,2.77194111097588
1995,South Atlantic,1.558961647712624
1996,South Atlantic,1.3625826113239008
1997,South Atlantic,6.498982671857631
1998,South Atlantic,17.029613909418888
1999,South Atlantic,4.458112186846772
2000,South Atlantic,4.788595668395402
2001,South Atlantic,5.785622900282692
2002,South Atlantic,5.447694045058918
2003,South Atlantic,15.924434850444733
2004,South Atlantic,5.404831105061659
2005,South Atlantic,9.291116262244818
2006,South Atlantic,4.348394647480608
2007,South Atlantic,2.37907384484471
2008,South Atlantic,4.463236892476527
2009,South Atlantic,16.519289296417277
2010,South Atlantic,28.888000878127627
2011,South Atlantic,20.3612237466658
2012,South Atlantic,5.271370161209523
2013,South Atlantic,1.1369426695457172
2014,South Atlantic,17.341003512741494
2015,South Atlantic,15.881264719884008
2016,South Atlantic,11.424171145443102
2017,South Atlantic,23.341699309413492
2018,South Atlantic,31.96197045264392
2019,South Atlantic,28.79525230053173
2020,South Atlantic,23.429820629073784
2021,South Atlantic,32.18997384795093
2022,South Atlantic,22.489088606636646
2023,South Atlantic,49.15307997012526
2024,South Atlantic,67.72217319206328
1991,Local-dominated basin mean,3.897753266616847
1992,Local-dominated basin mean,7.81702315173153
1993,Local-dominated basin mean,5.292106444463424
1994,Local-dominated basin mean,2.8038745117186124
1995,Local-dominated basin mean,4.142406279529011
1996,Local-dominated basin mean,3.1486778003736586
1997,Local-dominated basin mean,25.053625326189472
1998,Local-dominated basin mean,29.070726691451387
1999,Local-dominated basin mean,5.587625084945301
2000,Local-dominated basin mean,5.531965317392057
2001,Local-dominated basin mean,5.819118560616054
2002,Local-dominated basin mean,7.489272440226892
2003,Local-dominated basin mean,8.663401627655695
2004,Local-dominated basin mean,5.453654231257556
2005,Local-dominated basin mean,11.074785368091796
2006,Local-dominated basin mean,6.455905762006125
2007,Local-dominated basin mean,5.464633942751836
2008,Local-dominated basin mean,6.827335014036335
2009,Local-dominated basin mean,10.197917297019819
2010,Local-dominated basin mean,34.967457131527944
2011,Local-dominated basin mean,13.44640230551255
2012,Local-dominated basin mean,12.027000077984532
2013,Local-dominated basin mean,6.6231403720614095
2014,Local-dominated basin mean,17.317334531348514
2015,Local-dominated basin mean,43.42721466495586
2016,Local-dominated basin mean,42.1137141809279
2017,Local-dominated basin mean,29.55353431432452
2018,Local-dominated basin mean,25.489343566953888
2019,Local-dominated basin mean,34.05535209767778
2020,Local-dominated basin mean,36.56383923361424
2021,Local-dominated basin mean,28.188663663194518
2022,Local-dominated basin mean,34.088012593927964
2023,Local-dominated basin mean,80.17751808662311
2024,Local-dominated basin mean,100.71006852975977
